GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mps5,org.mps.boundedqueue,FullBoundedQueueException,4,0,0,0,2,0,1,0,1,0
mps5,org.mps.boundedqueue,ArrayBoundedQueue,67,63,8,4,14,16,11,5,5,5
mps5,org.mps.boundedqueue,ArrayBoundedQueue.ArrayBoundedQueueIterator,0,53,0,4,0,11,0,5,0,3
mps5,org.mps.boundedqueue,EmptyBoundedQueueException,4,0,0,0,2,0,1,0,1,0
